,date,start_time,end_time,forecast,horizon,version,type,created_at
56,2019-09-28,14:00:00,14:15:00,1708.18603515625,1,v3,1,2019-09-27 19:12:29
57,2019-09-28,14:15:00,14:30:00,1718.724365234375,1,v3,1,2019-09-27 19:12:29
58,2019-09-28,14:30:00,14:45:00,1713.9615478515625,1,v3,1,2019-09-27 19:12:29
59,2019-09-28,14:45:00,15:00:00,1715.601806640625,1,v3,1,2019-09-27 19:12:29
60,2019-09-28,15:00:00,15:15:00,1719.6134033203125,1,v3,1,2019-09-27 19:12:29
61,2019-09-28,15:15:00,15:30:00,1721.6845703125,1,v3,1,2019-09-27 19:12:29
62,2019-09-28,15:30:00,15:45:00,1720.4324951171875,1,v3,1,2019-09-27 19:12:29
63,2019-09-28,15:45:00,16:00:00,1730.7269287109375,1,v3,1,2019-09-27 19:12:29
64,2019-09-28,16:00:00,16:15:00,1737.438232421875,1,v3,1,2019-09-27 19:12:29
65,2019-09-28,16:15:00,16:30:00,1735.7559814453125,1,v3,1,2019-09-27 19:12:29
66,2019-09-28,16:30:00,16:45:00,1738.573974609375,1,v3,1,2019-09-27 19:12:29
67,2019-09-28,16:45:00,17:00:00,1723.264892578125,1,v3,1,2019-09-27 19:12:29
68,2019-09-28,17:00:00,17:15:00,1730.8084716796875,1,v3,1,2019-09-27 19:12:29
69,2019-09-28,17:15:00,17:30:00,1715.4810791015625,1,v3,1,2019-09-27 19:12:29
70,2019-09-28,17:30:00,17:45:00,1699.4306640625,1,v3,1,2019-09-27 19:12:29
71,2019-09-28,17:45:00,18:00:00,1693.781982421875,1,v3,1,2019-09-27 19:12:29
72,2019-09-28,18:00:00,18:15:00,1712.6883544921875,1,v3,1,2019-09-27 19:12:29
73,2019-09-28,18:15:00,18:30:00,1691.476318359375,1,v3,1,2019-09-27 19:12:29
74,2019-09-28,18:30:00,18:45:00,1704.2857666015625,1,v3,1,2019-09-27 19:12:29
75,2019-09-28,18:45:00,19:00:00,1704.56787109375,1,v3,1,2019-09-27 19:12:29
76,2019-09-28,19:00:00,19:15:00,1711.4632568359375,1,v3,1,2019-09-27 19:12:29
77,2019-09-28,19:15:00,19:30:00,1712.4075927734375,1,v3,1,2019-09-27 19:12:29
78,2019-09-28,19:30:00,19:45:00,1716.0166015625,1,v3,1,2019-09-27 19:12:29
79,2019-09-28,19:45:00,20:00:00,1718.3890380859375,1,v3,1,2019-09-27 19:12:29
80,2019-09-28,20:00:00,20:15:00,1712.39794921875,1,v3,1,2019-09-27 19:12:29
81,2019-09-28,20:15:00,20:30:00,1717.095703125,1,v3,1,2019-09-27 19:12:29
82,2019-09-28,20:30:00,20:45:00,1725.361083984375,1,v3,1,2019-09-27 19:12:29
83,2019-09-28,20:45:00,21:00:00,1725.5137939453125,1,v3,1,2019-09-27 19:12:29
84,2019-09-28,21:00:00,21:15:00,1720.797607421875,1,v3,1,2019-09-27 19:12:29
85,2019-09-28,21:15:00,21:30:00,1721.3199462890625,1,v3,1,2019-09-27 19:12:29
86,2019-09-28,21:30:00,21:45:00,1729.220947265625,1,v3,1,2019-09-27 19:12:29
87,2019-09-28,21:45:00,22:00:00,1734.5274658203125,1,v3,1,2019-09-27 19:12:29
88,2019-09-28,22:00:00,22:15:00,1725.7406005859375,1,v3,1,2019-09-27 19:12:29
89,2019-09-28,22:15:00,22:30:00,1731.51806640625,1,v3,1,2019-09-27 19:12:29
90,2019-09-28,22:30:00,22:45:00,1736.358642578125,1,v3,1,2019-09-27 19:12:29
91,2019-09-28,22:45:00,23:00:00,1740.3065185546875,1,v3,1,2019-09-27 19:12:29
92,2019-09-28,23:00:00,23:15:00,1743.7271728515625,1,v3,1,2019-09-27 19:12:29
93,2019-09-28,23:15:00,23:30:00,1742.89208984375,1,v3,1,2019-09-27 19:12:29
94,2019-09-28,23:30:00,23:45:00,1741.3306884765625,1,v3,1,2019-09-27 19:12:29
95,2019-09-28,23:45:00,00:00:00,1725.069580078125,1,v3,1,2019-09-27 19:12:29
